District_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Южное Бутово,Италония,Italian Restaurant,"Южнобутовская ул., 69",55.53518823335369,37.52781629562378
Южное Бутово,La Piazza,Italian Restaurant,"ул. Адмирала Лазарева, 24 (Плавский пр.)",55.54659790484352,37.53297829152308
Внуково,IL Patio,Italian Restaurant,"Airport Vnukovo, 119027",55.605562,37.287048
Ясенево,Моцарелла,Italian Restaurant,Россия,55.59766733106842,37.527378573554
Ясенево,IL Патио,Italian Restaurant,117588,55.607346568694936,37.53279476160778
Бирюлёво Западное,Bella Napoli,Italian Restaurant,"Мединская ул., 7а, стр. 1",55.587022576096146,37.64792034660217
Ново-Переделкино,Да Наполе,Italian Restaurant,Россия,55.652145999999995,37.350291
Тёплый Стан,Maximus,Italian Restaurant,Россия,55.63163228419476,37.482712482500474
Чертаново Центральное,IL Патио,Italian Restaurant,"ТРЦ «Columbus» (Кировоградская ул., 13а)",55.61196847169467,37.606168802423575
Коньково,La Piola,Italian Restaurant,"Профсоюзная ул., 109, корп. 2, 117647",55.63341318667547,37.52001144446348
Коньково,Руккола,Italian Restaurant,"Профсоюзная ул., 104 (ул. Миклухо-Маклая)",55.641422271274955,37.52411484718323
Коньково,Ла Делиция,Italian Restaurant,"Севастопольский просп., 56а",55.640911194600804,37.548395534492506
Бирюлёво Восточное,Меркато,Italian Restaurant,"Музей-заповедник Царицино (ул. Тюрина), 115516",55.618347050969064,37.67288187075877
Тропарёво-Никулино,Vapiano,Italian Restaurant,"Проспект Вернадского, 105/1",55.662395686584674,37.48537092114298
Обручевский,Largo,Italian Restaurant,"Ленинский просп., 111, корп. 1",55.66137749632808,37.508194452847796
Орехово-Борисово Северное,Tiberio,Italian Restaurant,"Milan Hotel (Шипиловская ул., 28А), город Москва",55.618684818366745,37.71419639467585
Можайский,Osteria Mario,Italian Restaurant,"Bolshoy bulevard, 42 build. 2, Сколково",55.69306072307396,37.347767057127534
Тропарёво-Никулино,Terrazza del Sole,Italian Restaurant,"просп. Вернадского, 93, 119526",55.66763232946661,37.494780451405184
Проспект Вернадского,Бокончинно,Italian Restaurant,Россия,55.66331131806557,37.50854207596657
Обручевский,ROSSO cafe & bar,Italian Restaurant,"ТРЦ ""РИО"", 5 этаж (Ленинский просп., 109)",55.6636943916452,37.5103543702792
Зюзино,Pizza Preferita,Italian Restaurant,Москва,55.647888,37.595575
Орехово-Борисово Северное,Osteria Mario,Italian Restaurant,115563,55.62241700000001,37.713145000000004
Тропарёво-Никулино,Florentini City Cafe,Italian Restaurant,Мичуринский Проспект Олимпийская Деревня Д.4 Корпус 3,55.67558303415613,37.47147313891345
Тропарёво-Никулино,Giardino di pino,Italian Restaurant,"ул. Мичуринский Проспект, Олимпийская Деревня, 3, корп. 1",55.6787140981345,37.4674987050902
Обручевский,Villaggio,Italian Restaurant,"ул. Воронцовские Пруды, 11",55.66406049145896,37.52914061844128
Проспект Вернадского,Тоскана,Italian Restaurant,"ул. Удальцова, 15, 119415",55.6725741426496,37.51370295044863
Ломоносовский,MegaItalia,Italian Restaurant,"ул. Академика Пилюгина, 10",55.669521498825375,37.53976655728218
Обручевский,Fontana Di Trevi,Italian Restaurant,Профсоюзная 64-66,55.66581,37.549448999999996
